Taxpayer Number,Taxpayer Name,Taxpayer Address,Taxpayer City,Taxpayer State,Taxpayer Zip Code,Taxpayer County,Outlet Number,Location Name,Location Address,Location City,Location State,Location Zip Code,Location County,Location Room Capacity,Location Tot Room Receipts,Location Taxable Receipts
32016602719,BHAKTA DAYARAM,2627 MANOR RD,AUSTIN,TX,78722,227,00001,ACE MOTEL,2627 MANOR RD,AUSTIN,TX,78722,227,27,23289.0,20252.0
32016658448,SIDNEY CORINNE LOCK,4300 AVENUE G,AUSTIN,TX,78751,227,00005,ADAMS HOUSE BED & BREAKFAST,4300 AVENUE G,AUSTIN,TX,78751,227,3,24799.5,23940.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00009,ALLANDALE RENTALS,11900 ALOE VERA TRL,AUSTIN,TX,78750,246,8,2321.0,2321.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00010,ALLANDALE RENTALS DUPLEX,2200 LANIER DR # B,AUSTIN,TX,78757,227,1,2179.0,0.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00008,ALLANDALE RENTALS/DUPLEX,2200 LANIER DR # A,AUSTIN,TX,78757,227,4,3591.0,3591.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00004,ALLENDALE RENTALS,2105 LANIER DR,AUSTIN,TX,78757,227,1,364.0,364.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00006,ALLENDALE RENTALS,5010 PLACID PL,AUSTIN,TX,78731,227,1,2220.0,2220.0
32024286760,"ALTEMATE REAL ESTATE, LLC",1318 URSULINES AVE,NEW ORLEANS,LA,70116,000,00008,ALTEMATE REAL ESTATE LLC,76 SAN MARCOS ST,AUSTIN,TX,78702,227,1,4095.0,4095.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00002,AMANDA K CRIBBS,1906 BELFORD DR,AUSTIN,TX,78757,227,1,0.0,0.0
11356396892,"AMERICAN YOUTH HOSTELS, INC.",8401 COLESVILLE RD STE 600,SILVER SPRING,MD,20910,000,00004,"AMERICAN YOUTH HOSTELS, INC.",2200 S LAKESHORE BLVD,AUSTIN,TX,78741,227,46,32784.21,32784.21
17427099472,AMIN DEVELOPMENT CORPORATION,909 E KOENIG LN,AUSTIN,TX,78751,227,00003,AMERICAS BEST VALUE INN,909 E KOENIG LN,AUSTIN,TX,78751,227,88,155032.91,144369.0
14320123657,"HPT TRS SPES II, INC.",830 CITY AVE,MOORE,OK,73160,000,00004,AMERISUITES - AF,7522 NORTH IH-35,AUSTIN,TX,78752,227,122,507493.68,454002.51
32048209129,ANTHONY BELL,9550 SAVANNAH RIDGE DR UNIT 33,AUSTIN,TX,78726,227,00001,ANTHONY T BELL,13010 WATER LN,AUSTIN,TX,78732,227,6,10269.0,10269.0
32043490237,VACATIONCAKE LLC,1709 BLUEBONNET LN,AUSTIN,TX,78704,227,00038,ATOMIC RANCH,5010 GLADEVIEW DR,AUSTIN,TX,78745,227,1,4830.0,550.0
